,transfer time,request number,byte count,completion status
2017-6-1 0:00,2319,1462,267877165,0
2017-6-1 0:10,1891,1103,440749512,0
2017-6-1 0:20,1053,801,41024124,1
2017-6-1 0:30,1636,858,937300080,1
2017-6-1 0:40,1087,799,27038172,1
2017-6-1 0:50,1148,694,49087532,1
2017-6-1 1:00,4150,892,5923484754,0
2017-6-1 1:10,4911,1136,5051499195,1
2017-6-1 1:20,2898,896,1573760962,1
2017-6-1 1:30,2617,862,2204999848,1
2017-6-1 1:40,1780,770,1016719056,1
2017-6-1 1:50,1480,849,198642605,0
2017-6-1 2:00,1911,991,677886065,0
2017-6-1 2:10,2961,2228,411246572,0
2017-6-1 2:20,1495,1009,99281052,0
2017-6-1 2:30,1717,926,816322517,0
2017-6-1 2:40,1510,1019,116007368,0
2017-6-1 2:50,2239,1500,294411223,0
2017-6-1 3:00,2867,2011,780302393,0
2017-6-1 3:10,2051,1336,86177664,0
2017-6-1 3:20,1986,1221,299646616,0
2017-6-1 3:30,4191,1226,5145605887,0
2017-6-1 3:40,3767,1908,480581480,0
2017-6-1 3:50,8953,7357,734775720,0
2017-6-1 4:00,3030,1938,332163789,0
2017-6-1 4:10,2901,1254,330001412,0
2017-6-1 4:20,2413,1307,248037932,0
2017-6-1 4:30,2372,1307,462024572,0
2017-6-1 4:40,2031,1198,257431996,0
2017-6-1 4:50,1795,1005,555592472,0
2017-6-1 5:00,2533,1581,585860396,0
2017-6-1 5:10,2667,1639,563449512,0
2017-6-1 5:20,3388,2291,485318938,0
2017-6-1 5:30,2994,1707,682641836,0
2017-6-1 5:40,2484,1709,123904180,0
2017-6-1 5:50,2438,1663,96435148,0
2017-6-1 6:00,2270,1349,287758519,0
2017-6-1 6:10,2417,1356,1093223196,0
2017-6-1 6:20,1959,1216,409667260,1
2017-6-1 6:30,1997,793,427250408,0
2017-6-1 6:40,1331,427,222423848,1
2017-6-1 6:50,1775,774,874546602,0
2017-6-1 7:00,2088,1274,550568408,0
2017-6-1 7:10,2722,1362,861284904,0
2017-6-1 7:20,1813,1091,843997336,0
2017-6-1 7:30,1576,661,273695312,0
2017-6-1 7:40,1950,1091,428139224,0
2017-6-1 7:50,1883,1143,351103556,0
2017-6-1 8:00,2369,1507,575324624,0
2017-6-1 8:10,2054,1370,751758405,0
2017-6-1 8:20,1843,1013,491693528,0
2017-6-1 8:30,2399,1310,1025739664,0
2017-6-1 8:40,2990,2042,992715099,0
2017-6-1 8:50,3025,1624,681325340,0
2017-6-1 9:00,3913,2240,933395099,0
2017-6-1 9:10,4144,2776,543577680,0
2017-6-1 9:20,3055,1987,344043764,0
2017-6-1 9:30,2995,2098,505728324,0
